पीठासीन अधिकारी का नाम ,न्यायालय का नाम ,खाता विभाजन (विवादित + अविवादित),,,नामांतरण (विवादित + अविवादित),,,सीमांकन,,,विविध राजस्व मामले (बी-121),,,कूल निराकरण,,,जाति प्रमाण पत्र,,,अवैध उत्खनन /अतिक्रमण,,,आर बी सी 6 (4),,,टी.एल./जनदर्शन / जनशिकायत /लोक सेवा,,
,,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित,दर्ज,निराकृत,लंबित
श्री बाबूलाल कुर्रे,न्‍यायालय तहसीलदार धरसीवा,501,466,35,25055,24784,271,1424,1421,3,2426,2185,241,29406,28856,550,2742,2409,333,67,46,21,37,37,0,473,473,0
श्री बाबूलाल कुर्रे,न्यायलय अतिरिक्त तहसीलदार धरसींवा 05,654,629,25,6754,6660,94,502,502,0,1055,984,71,8965,8775,190,0,0,0,73,71,2,43,37,6,0,0,0
श्री अशोक कुमार जंघेल,न्यायालय नायब तहसीलदार सारागांव,325,309,16,7135,7040,95,199,199,0,243,228,15,7902,7776,126,0,0,0,15,10,5,16,16,0,0,0,0
