पीठासीन अधिकारी,व्यपवर्तन,,,अभिलेख दुरुस्ती/त्रुटियुधार,,,अपील निराकरण,,,कुल प्रकरणों का निराकरण,,,जाति प्रमाणपत्र,,,आँगनबाड़ी/स्कूल/पीडीएस शॉप/विकास कार्य निरीक्षण,,,RBC 6(4),,,टीएल/जनदर्शन/जनशिकायत/पीजी,,
,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित,कुल दर्ज,कुल निराकृत,कुल लंबित
श्री नंद कुमार चौबे अनुविभागीय अधिकारी रा रायपुर ,31852,31831,21,2402,2393,9,1533,1357,176,37127,36700,427,650,650,0,8,8,0,9,9,0,59,59,0
